rno,level,lose,point,profileIconId,summonerName,tier,win
789,377,902,471,4832,TBPApolo,GRANDMASTER,939
790,503,1148,470,3155,생수하는원이,GRANDMASTER,1177
791,186,663,470,4783,EawqaaAOVO,GRANDMASTER,692
792,171,269,470,933,DaYE,GRANDMASTER,333
793,121,598,469,4655,lxc0o0,GRANDMASTER,736
794,167,770,468,4589,tiancaipaidaxing,GRANDMASTER,793
795,193,671,468,4659,에스카노르킹,GRANDMASTER,698
796,443,331,468,4555,사나운족제비,GRANDMASTER,362
797,270,674,467,4,PcPcc,GRANDMASTER,692
798,63,151,467,4568,정노폐,GRANDMASTER,177
799,201,591,466,7,Bellwest,GRANDMASTER,639
800,189,416,466,4804,GenGLospa,GRANDMASTER,459
801,164,424,466,4568,KanaGL,GRANDMASTER,457
802,255,373,466,985,너왜우럭,GRANDMASTER,401
803,257,1594,464,13,a1da2d,GRANDMASTER,1615
804,313,407,464,4816,대야웰백,GRANDMASTER,440
805,179,915,462,4653,행운게임,GRANDMASTER,937
806,237,663,462,22,시간소비중,GRANDMASTER,690
807,134,608,462,4845,현솔,GRANDMASTER,683
808,364,661,462,3533,견백,GRANDMASTER,644
809,286,364,462,4832,엔도르시자하드,GRANDMASTER,378
810,384,1126,461,8,skyneversneer,GRANDMASTER,1144
811,426,861,461,3859,홈런볼다내꺼,GRANDMASTER,856
812,347,372,461,3157,탸릭,GRANDMASTER,404
813,287,1149,460,7,baijiazi,GRANDMASTER,1177
814,321,912,460,4800,jiangyunsheng,GRANDMASTER,944
815,168,876,460,4379,야유야유회,GRANDMASTER,904
